"Project Name",City,"Total Housing Units","Local partners",Sponsor,"Tax Credit units","Unit type","Allocation amount","Allocation type","Allocation year"
"Valley View II Apts",Vergennes,12,"Housing Foundation Inc., The",,12,"Rehabilitation, Acquisition","$70,000","Tax Exempt Bonds",2013
"Bobbin Mill",Burlington,51,"Burlington Housing Authority",Evernorth,51,"Rehabilitation, Acquisition","$65,000",State,2013
"58 Barre Street Senior Housing",Montpelier,12,,"Capital City Housing Foundation Inc",12,Rehabilitation,"$69,014","Tax Exempt Bonds",2012
"West River Valley - Assisted Living II",Townshend,12,"Valley Cares",Evernorth,6,"New construction","$17,943",Federal,2012
"Erastus Thayer House",Brandon,9,,Evernorth,8,Rehabilitation,"$435,000",Federal,2012
"Bennington Family Housing",Bennington,26,"Shires Housing",Evernorth,22,"New construction, Rehabilitation","$95,000",State,2012
"City Neighborhoods",Burlington,40,"Champlain Housing Trust",Evernorth,40,"Rehabilitation, Acquisition","$407,400",Federal,2012
"City Neighborhoods",Burlington,40,"Champlain Housing Trust",Evernorth,40,"Rehabilitation, Acquisition","$55,000",State,2012
"Wharf Lane",Burlington,37,Evernorth,"Burlington Housing Authority",37,"Rehabilitation, Acquisition","$504,000",Federal,2012
"Algiers Village",Guilford,17,,Evernorth,14,"New construction","$371,000",Federal,2012
"Wharf Lane",Burlington,37,Evernorth,"Burlington Housing Authority",37,"Rehabilitation, Acquisition","$70,000",State,2012
"Abenaki Acres",Swanton,12,,"Housing Foundation Inc., The",12,"Rehabilitation, Acquisition","$65,000",State,2012
"Chester Gage",Chester,12,,,12,"Rehabilitation, Acquisition","$40,000",State,2012
"Bennington Family Housing",Bennington,26,"Shires Housing",Evernorth,22,"New construction, Rehabilitation","$395,000",Federal,2012
"Thayer Senior Housing - Phase I",Burlington,33,,"Cathedral Square Corp.",27,"New construction","$20,000",State,2012
"Algiers Village",Guilford,17,,Evernorth,14,"New construction","$35,000",State,2012
"Brandon Scattered Site",Brandon,27,,"Housing Trust of Rutland County",25,"Rehabilitation, Acquisition","$435,000",Federal,2012
"St Johnsbury Historic Green Rehab","St. Johnsbury",29,RuralEdge,Evernorth,29,Rehabilitation,"$350,000",Federal,2012
"Avenue Apartments",Burlington,33,"Champlain Housing Trust",Evernorth,28,"New construction","$20,000",State,2012
"Avenue Apartments",Burlington,33,"Champlain Housing Trust",Evernorth,28,"New construction","$50,715",Federal,2012
"Spring, Elliot & Valgar Streets",Brattleboro,28,,,27,"Rehabilitation, Acquisition","$56,000",State,2011
"Pine Meadow",Middlebury,30,"Addison County Community Trust",Evernorth,24,"New construction","$85,250",Federal,2011
"Windsor Village",Windsor,77,"Rockingham Area Community Land Trust",Evernorth,77,"Rehabilitation, Acquisition","$245,000",Federal,2011
"Windsor Village",Windsor,77,"Rockingham Area Community Land Trust",Evernorth,77,"Rehabilitation, Acquisition","$30,000",State,2011
